 YY XX    OLR1   U8501    OLR2   U8502    OLR3    U8503   OLR4   U8504
  2 17 -0.0243  0.0146  0.0148  0.0105 -0.0175  0.0257  0.0046 -0.0134
  2 18 -0.0269  0.0122  0.0168  0.0111 -0.0231  0.0228  0.0050 -0.0129
  2 19 -0.0280  0.0098  0.0175  0.0110 -0.0266  0.0193  0.0029 -0.0123
  2 20 -0.0289  0.0073  0.0155  0.0107 -0.0289  0.0161  0.0001 -0.0125
  2 21 -0.0296  0.0051  0.0143  0.0103 -0.0321  0.0146 -0.0019 -0.0133
  2 22 -0.0274  0.0043  0.0109  0.0099 -0.0356  0.0160 -0.0013 -0.0132
  2 23 -0.0251  0.0051  0.0073  0.0097 -0.0355  0.0196 -0.0007 -0.0113
  2 24 -0.0222  0.0059  0.0031  0.0104 -0.0343  0.0236 -0.0010 -0.0080
  2 25 -0.0190  0.0050 -0.0005  0.0118 -0.0314  0.0258 -0.0019 -0.0050
  2 26 -0.0156  0.0023 -0.0027  0.0134 -0.0285  0.0248 -0.0022 -0.0035
  2 27 -0.0129 -0.0004 -0.0026  0.0141 -0.0235  0.0207 -0.0034 -0.0032
  2 28 -0.0090 -0.0023 -0.0044  0.0141 -0.0186  0.0152 -0.0046 -0.0031
  2 29 -0.0076 -0.0034 -0.0054  0.0140 -0.0148  0.0105 -0.0049 -0.0023
  2 30 -0.0066 -0.0043 -0.0062  0.0142 -0.0135  0.0079 -0.0050 -0.0010
  2 31 -0.0053 -0.0044 -0.0050  0.0142 -0.0117  0.0069 -0.0044  0.0001
  2 32 -0.0042 -0.0036 -0.0055  0.0138 -0.0098  0.0059 -0.0034  0.0009
  2 33 -0.0028 -0.0027 -0.0052  0.0133 -0.0091  0.0042 -0.0038  0.0022
  2 34 -0.0002 -0.0026 -0.0059  0.0130 -0.0075  0.0025 -0.0048  0.0045
  2 35  0.0012 -0.0033 -0.0059  0.0128 -0.0062  0.0018 -0.0055  0.0074
  2 36  0.0016 -0.0037 -0.0050  0.0120 -0.0065  0.0024 -0.0037  0.0099
  2 37  0.0017 -0.0031 -0.0059  0.0104 -0.0063  0.0041 -0.0028  0.0114
  2 38  0.0016 -0.0017 -0.0068  0.0083 -0.0049  0.0062 -0.0038  0.0120
  2 39  0.0026  0.0001 -0.0077  0.0060 -0.0043  0.0078 -0.0054  0.0120
  2 40  0.0015  0.0021 -0.0100  0.0043 -0.0047  0.0079 -0.0060  0.0113
  2 41  0.0012  0.0033 -0.0113  0.0037 -0.0029  0.0063 -0.0066  0.0103
  2 42  0.0017  0.0027 -0.0098  0.0039 -0.0011  0.0035 -0.0044  0.0095
  2 43  0.0042  0.0002 -0.0105  0.0042  0.0002  0.0010 -0.0021  0.0091
  2 44  0.0028 -0.0032 -0.0092  0.0036  0.0052 -0.0006  0.0012  0.0086
  2 45 -0.0003 -0.0063 -0.0089  0.0025  0.0081 -0.0018  0.0062  0.0072
  2 46 -0.0005 -0.0092 -0.0087  0.0019  0.0132 -0.0037  0.0054  0.0050
  2 47  0.0004 -0.0124 -0.0075  0.0021  0.0149 -0.0070  0.0059  0.0027
  2 48 -0.0012 -0.0158 -0.0073  0.0022  0.0153 -0.0109  0.0053  0.0006
  2 49 -0.0034 -0.0184 -0.0055  0.0014  0.0148 -0.0143  0.0038 -0.0016
  3  1  0.0005  0.0053  0.0028  0.0027  0.0110  0.0084  0.0033  0.0001
  3  2 -0.0005  0.0085  0.0045  0.0037  0.0107  0.0105  0.0038 -0.0001
  3  3 -0.0007  0.0111  0.0059  0.0037  0.0103  0.0110  0.0026 -0.0023
  3  4 -0.0016  0.0124  0.0062  0.0030  0.0101  0.0108  0.0024 -0.0056
  3  5 -0.0020  0.0133  0.0070  0.0019  0.0113  0.0111  0.0013 -0.0087
  3  6 -0.0015  0.0149  0.0084  0.0010  0.0127  0.0124 -0.0001 -0.0106
  3  7 -0.0006  0.0175  0.0099  0.0004  0.0154  0.0149 -0.0013 -0.0116
  3  8 -0.0023  0.0203  0.0112  0.0000  0.0158  0.0186 -0.0008 -0.0128
  3  9 -0.0035  0.0226  0.0113 -0.0005  0.0153  0.0228 -0.0002 -0.0148
  3 10 -0.0060  0.0243  0.0140 -0.0016  0.0130  0.0265 -0.0007 -0.0169
  3 11 -0.0090  0.0255  0.0118 -0.0027  0.0108  0.0292  0.0005 -0.0182
  3 12 -0.0110  0.0264  0.0109 -0.0027  0.0057  0.0323  0.0028 -0.0181
  3 13 -0.0127  0.0275  0.0109 -0.0012  0.0008  0.0373  0.0007 -0.0171
  3 14 -0.0146  0.0290  0.0124  0.0016 -0.0038  0.0439  0.0008 -0.0165
  3 15 -0.0184  0.0301  0.0168  0.0048 -0.0092  0.0502  0.0030 -0.0169
  3 16 -0.0209  0.0299  0.0188  0.0079 -0.0139  0.0543  0.0011 -0.0177
  3 17 -0.0235  0.0284  0.0215  0.0103 -0.0171  0.0552  0.0029 -0.0179
  3 18 -0.0256  0.0261  0.0209  0.0118 -0.0207  0.0528  0.0033 -0.0174
  3 19 -0.0268  0.0231  0.0202  0.0123 -0.0240  0.0476  0.0020 -0.0170
  3 20 -0.0289  0.0190  0.0195  0.0119 -0.0268  0.0414 -0.0001 -0.0171
  3 21 -0.0302  0.0148  0.0186  0.0113 -0.0291  0.0367 -0.0009 -0.0168
  3 22 -0.0308  0.0115  0.0155  0.0108 -0.0335  0.0348 -0.0012 -0.0147
  3 23 -0.0283  0.0092  0.0119  0.0111 -0.0372  0.0349 -0.0006 -0.0109
  3 24 -0.0248  0.0060  0.0081  0.0127 -0.0354  0.0349  0.0029 -0.0068
  3 25 -0.0255  0.0005  0.0050  0.0157 -0.0310  0.0328  0.0033 -0.0044
  3 26 -0.0199 -0.0054  0.0003  0.0184 -0.0257  0.0277 -0.0019 -0.0041
  3 27 -0.0197 -0.0087 -0.0004  0.0193 -0.0231  0.0203 -0.0017 -0.0047
  3 28 -0.0183 -0.0088 -0.0024  0.0186 -0.0209  0.0127 -0.0018 -0.0048
  3 29 -0.0167 -0.0083 -0.0037  0.0174 -0.0192  0.0075 -0.0041 -0.0037
  3 30 -0.0152 -0.0091 -0.0041  0.0168 -0.0163  0.0055 -0.0069 -0.0018
  3 31 -0.0151 -0.0105 -0.0040  0.0164 -0.0149  0.0053 -0.0057 -0.0001
  3 32 -0.0126 -0.0102 -0.0055  0.0156 -0.0146  0.0046 -0.0071  0.0010
