 YY XX    OLR1   U8501    OLR2   U8502    OLR3    U8503   OLR4   U8504
  6 39 -0.0030 -0.0251 -0.0312  0.0342 -0.0058 -0.0379 -0.0054 -0.0195
  6 40  0.0002 -0.0286 -0.0325  0.0333 -0.0032 -0.0410 -0.0047 -0.0154
  6 41  0.0025 -0.0314 -0.0330  0.0306 -0.0027 -0.0402 -0.0042 -0.0112
  6 42  0.0037 -0.0314 -0.0333  0.0268  0.0001 -0.0376 -0.0032 -0.0081
  6 43  0.0031 -0.0285 -0.0328  0.0225  0.0029 -0.0357 -0.0003 -0.0066
  6 44  0.0042 -0.0242 -0.0325  0.0180  0.0041 -0.0358  0.0002 -0.0065
  6 45  0.0061 -0.0203 -0.0306  0.0131  0.0066 -0.0374 -0.0003 -0.0064
  6 46  0.0065 -0.0181 -0.0273  0.0081  0.0058 -0.0387  0.0008 -0.0056
  6 47  0.0071 -0.0172 -0.0251  0.0037  0.0076 -0.0385  0.0012 -0.0042
  6 48  0.0054 -0.0159 -0.0208  0.0002  0.0084 -0.0365  0.0008 -0.0028
  6 49  0.0060 -0.0134 -0.0169 -0.0026  0.0081 -0.0340  0.0012 -0.0017
  7  1 -0.0013  0.0024 -0.0006  0.0027  0.0086  0.0029  0.0030  0.0027
  7  2 -0.0020  0.0018  0.0015  0.0057  0.0110  0.0059  0.0046  0.0062
  7  3 -0.0041  0.0027  0.0018  0.0096  0.0097  0.0121  0.0054  0.0112
  7  4 -0.0059  0.0040  0.0035  0.0124  0.0090  0.0192  0.0060  0.0162
  7  5 -0.0059  0.0052  0.0044  0.0137  0.0078  0.0258  0.0038  0.0201
  7  6 -0.0071  0.0062  0.0070  0.0146  0.0073  0.0315  0.0039  0.0224
  7  7 -0.0093  0.0070  0.0090  0.0162  0.0063  0.0361  0.0042  0.0237
  7  8 -0.0134  0.0078  0.0094  0.0185  0.0036  0.0391  0.0028  0.0241
  7  9 -0.0168  0.0087  0.0076  0.0205 -0.0012  0.0412  0.0001  0.0238
  7 10 -0.0208  0.0104  0.0058  0.0212 -0.0079  0.0438 -0.0029  0.0229
  7 11 -0.0245  0.0129  0.0048  0.0209 -0.0152  0.0481 -0.0065  0.0218
  7 12 -0.0278  0.0154  0.0050  0.0203 -0.0203  0.0534 -0.0121  0.0210
  7 13 -0.0305  0.0165  0.0067  0.0201 -0.0281  0.0580 -0.0140  0.0211
  7 14 -0.0319  0.0151  0.0057  0.0209 -0.0346  0.0609 -0.0150  0.0222
  7 15 -0.0329  0.0110  0.0047  0.0234 -0.0387  0.0624 -0.0134  0.0240
  7 16 -0.0335  0.0052  0.0037  0.0274 -0.0417  0.0635 -0.0082  0.0261
  7 17 -0.0343 -0.0003  0.0049  0.0318 -0.0442  0.0651 -0.0033  0.0279
  7 18 -0.0359 -0.0036  0.0070  0.0347 -0.0493  0.0676 -0.0001  0.0286
  7 19 -0.0386 -0.0042  0.0098  0.0352 -0.0550  0.0703  0.0022  0.0275
  7 20 -0.0378 -0.0034  0.0083  0.0336 -0.0626  0.0710  0.0016  0.0245
  7 21 -0.0344 -0.0036  0.0053  0.0306 -0.0664  0.0670  0.0030  0.0204
  7 22 -0.0295 -0.0067  0.0044  0.0270 -0.0631  0.0573  0.0033  0.0157
  7 23 -0.0259 -0.0132  0.0093  0.0240 -0.0385  0.0440  0.0044  0.0113
  7 24 -0.0207 -0.0219  0.0065  0.0230 -0.0289  0.0315  0.0072  0.0075
  7 25 -0.0094 -0.0310 -0.0042  0.0244 -0.0249  0.0230  0.0049  0.0051
  7 26 -0.0003 -0.0387 -0.0177  0.0274 -0.0344  0.0194  0.0053  0.0046
  7 27 -0.0038 -0.0447 -0.0232  0.0308 -0.0405  0.0190  0.0026  0.0055
  7 28 -0.0060 -0.0500 -0.0224  0.0339 -0.0387  0.0196  0.0026  0.0052
  7 29 -0.0082 -0.0542 -0.0204  0.0360 -0.0352  0.0196  0.0042  0.0019
  7 30 -0.0088 -0.0559 -0.0154  0.0356 -0.0297  0.0178  0.0079 -0.0036
  7 31 -0.0009 -0.0537 -0.0164  0.0320 -0.0230  0.0139  0.0113 -0.0088
  7 32  0.0055 -0.0493 -0.0277  0.0265 -0.0213  0.0088  0.0131 -0.0125
  7 33  0.0038 -0.0458 -0.0320  0.0220 -0.0187  0.0031  0.0119 -0.0160
  7 34  0.0004 -0.0449 -0.0354  0.0206 -0.0115 -0.0027  0.0118 -0.0213
  7 35 -0.0029 -0.0449 -0.0404  0.0221 -0.0057 -0.0087  0.0129 -0.0285
  7 36 -0.0039 -0.0438 -0.0421  0.0250 -0.0032 -0.0151  0.0085 -0.0352
  7 37 -0.0013 -0.0418 -0.0435  0.0276 -0.0008 -0.0221  0.0026 -0.0396
  7 38  0.0014 -0.0412 -0.0423  0.0291 -0.0022 -0.0291  0.0008 -0.0411
  7 39  0.0043 -0.0425 -0.0409  0.0290 -0.0025 -0.0345 -0.0006 -0.0404
  7 40  0.0082 -0.0437 -0.0401  0.0270 -0.0043 -0.0369 -0.0001 -0.0376
  7 41  0.0097 -0.0427 -0.0395  0.0233 -0.0057 -0.0364 -0.0004 -0.0333
  7 42  0.0095 -0.0390 -0.0384  0.0189 -0.0040 -0.0347  0.0000 -0.0288
  7 43  0.0091 -0.0337 -0.0367  0.0144 -0.0039 -0.0340  0.0021 -0.0253
  7 44  0.0076 -0.0282 -0.0356  0.0102 -0.0026 -0.0349  0.0031 -0.0229
  7 45  0.0081 -0.0236 -0.0336  0.0059  0.0015 -0.0362  0.0037 -0.0206
  7 46  0.0090 -0.0209 -0.0316  0.0017 -0.0007 -0.0362  0.0044 -0.0179
  7 47  0.0065 -0.0193 -0.0281 -0.0021 -0.0038 -0.0345  0.0033 -0.0150
  7 48  0.0043 -0.0174 -0.0250 -0.0047 -0.0036 -0.0318  0.0028 -0.0124
  7 49  0.0053 -0.0144 -0.0211 -0.0064 -0.0046 -0.0294  0.0021 -0.0102
  8  1 -0.0012  0.0007 -0.0022  0.0054  0.0069  0.0022  0.0021  0.0052
  8  2 -0.0020 -0.0001  0.0002  0.0094  0.0095  0.0040  0.0047  0.0099
  8  3 -0.0031 -0.0003  0.0017  0.0133  0.0090  0.0081  0.0071  0.0150
  8  4 -0.0055 -0.0001  0.0015  0.0160  0.0059  0.0129  0.0069  0.0193
  8  5 -0.0070  0.0001  0.0033  0.0177  0.0027  0.0180  0.0050  0.0229
  8  6 -0.0083  0.0006  0.0050  0.0202  0.0007  0.0238  0.0042  0.0265
  8  7 -0.0094  0.0013  0.0075  0.0240  0.0001  0.0298  0.0010  0.0300
  8  8 -0.0127  0.0018  0.0088  0.0283 -0.0010  0.0348  0.0005  0.0329
  8  9 -0.0169  0.0023  0.0093  0.0315 -0.0037  0.0380 -0.0027  0.0346
  8 10 -0.0220  0.0033  0.0083  0.0329 -0.0088  0.0403 -0.0054  0.0353
  8 11 -0.0273  0.0051  0.0069  0.0330 -0.0144  0.0429 -0.0100  0.0358
  8 12 -0.0312  0.0069  0.0053  0.0328 -0.0218  0.0461 -0.0128  0.0363
  8 13 -0.0334  0.0069  0.0040  0.0329 -0.0293  0.0486 -0.0146  0.0366
  8 14 -0.0325  0.0036  0.0009  0.0339 -0.0359  0.0494 -0.0162  0.0370
  8 15 -0.0310 -0.0029 -0.0016  0.0362 -0.0397  0.0480 -0.0140  0.0374
  8 16 -0.0293 -0.0110 -0.0032  0.0394 -0.0362  0.0454 -0.0071  0.0383
  8 17 -0.0327 -0.0185  0.0012  0.0423 -0.0360  0.0433  0.0003  0.0393
  8 18 -0.0349 -0.0236 -0.0007  0.0435 -0.0461  0.0437  0.0017  0.0402
  8 19 -0.0371 -0.0259  0.0003  0.0430 -0.0526  0.0467  0.0012  0.0402
  8 20 -0.0348 -0.0266 -0.0035  0.0416 -0.0586  0.0502 -0.0025  0.0390
  8 21 -0.0288 -0.0281 -0.0087  0.0400 -0.0628  0.0512 -0.0062  0.0367
  8 22 -0.0212 -0.0323 -0.0140  0.0385 -0.0603  0.0481 -0.0052  0.0339
  8 23 -0.0186 -0.0394 -0.0129  0.0377 -0.0489  0.0415 -0.0010  0.0309
  8 24 -0.0196 -0.0480 -0.0105  0.0376 -0.0376  0.0335  0.0023  0.0277
  8 25 -0.0118 -0.0558 -0.0178  0.0374 -0.0350  0.0261  0.0033  0.0245
  8 26  0.0033 -0.0623 -0.0309  0.0366 -0.0420  0.0205 -0.0002  0.0220
  8 27  0.0109 -0.0687 -0.0376  0.0360 -0.0446  0.0177  0.0025  0.0205
  8 28  0.0132 -0.0761 -0.0408  0.0368 -0.0446  0.0179  0.0050  0.0186
  8 29  0.0139 -0.0833 -0.0415  0.0387 -0.0413  0.0197  0.0047  0.0143
  8 30  0.0118 -0.0869 -0.0400  0.0391 -0.0365  0.0208  0.0077  0.0072
  8 31  0.0130 -0.0844 -0.0381  0.0354 -0.0332  0.0196  0.0114 -0.0011
  8 32  0.0145 -0.0772 -0.0382  0.0278 -0.0283  0.0161  0.0142 -0.0086
  8 33  0.0120 -0.0691 -0.0388  0.0197 -0.0226  0.0110  0.0176 -0.0155
  8 34 -0.0003 -0.0633 -0.0295  0.0141 -0.0148  0.0050  0.0157 -0.0230
  8 35  0.0053 -0.0605 -0.0358  0.0115 -0.0088 -0.0010  0.0159 -0.0317
  8 36  0.0086 -0.0598 -0.0494  0.0109 -0.0037 -0.0063  0.0201 -0.0406
  8 37  0.0123 -0.0607 -0.0487  0.0106 -0.0018 -0.0105  0.0158 -0.0482
  8 38  0.0144 -0.0624 -0.0455  0.0099 -0.0014 -0.0142  0.0129 -0.0538
  8 39  0.0161 -0.0629 -0.0430  0.0081 -0.0026 -0.0174  0.0098 -0.0568
  8 40  0.0181 -0.0604 -0.0405  0.0053 -0.0038 -0.0201  0.0096 -0.0567
  8 41  0.0194 -0.0547 -0.0396  0.0017 -0.0044 -0.0218  0.0110 -0.0537
  8 42  0.0189 -0.0477 -0.0373 -0.0017 -0.0050 -0.0234  0.0128 -0.0492
  8 43  0.0178 -0.0413 -0.0351 -0.0046 -0.0051 -0.0256  0.0134 -0.0446
  8 44  0.0148 -0.0359 -0.0356 -0.0070 -0.0029 -0.0281  0.0138 -0.0404
  8 45  0.0130 -0.0310 -0.0343 -0.0094 -0.0005 -0.0296  0.0145 -0.0362
  8 46  0.0096 -0.0268 -0.0328 -0.0118 -0.0013 -0.0290  0.0140 -0.0316
  8 47  0.0092 -0.0233 -0.0307 -0.0137 -0.0031 -0.0269  0.0136 -0.0269
  8 48  0.0078 -0.0200 -0.0282 -0.0146 -0.0042 -0.0244  0.0104 -0.0225
  8 49  0.0067 -0.0162 -0.0230 -0.0145 -0.0053 -0.0227  0.0078 -0.0184
  9  1 -0.0022 -0.0003  0.0009  0.0087  0.0094  0.0029  0.0029  0.0098
  9  2 -0.0019 -0.0008  0.0003  0.0128  0.0109  0.0042  0.0048  0.0150
  9  3 -0.0036 -0.0016  0.0010  0.0154  0.0096  0.0063  0.0087  0.0185
  9  4 -0.0036 -0.0027 -0.0002  0.0166  0.0065  0.0082  0.0066  0.0201
  9  5 -0.0048 -0.0037  0.0005  0.0182  0.0035  0.0108  0.0038  0.0216
  9  6 -0.0064 -0.0042  0.0019  0.0217  0.0000  0.0150  0.0015  0.0249
  9  7 -0.0090 -0.0043  0.0037  0.0270 -0.0021  0.0208  0.0009  0.0298
  9  8 -0.0129 -0.0043  0.0044  0.0327 -0.0042  0.0264 -0.0025  0.0349
  9  9 -0.0167 -0.0047  0.0064  0.0374 -0.0058  0.0303 -0.0062  0.0390
  9 10 -0.0220 -0.0051  0.0089  0.0411 -0.0098  0.0321 -0.0081  0.0424
  9 11 -0.0267 -0.0051  0.0087  0.0439 -0.0158  0.0329 -0.0104  0.0452
  9 12 -0.0324 -0.0050  0.0081  0.0458 -0.0234  0.0335 -0.0128  0.0468
  9 13 -0.0357 -0.0063  0.0055  0.0463 -0.0318  0.0337 -0.0124  0.0467
  9 14 -0.0336 -0.0102 -0.0004  0.0460 -0.0369  0.0329 -0.0134  0.0454
  9 15 -0.0273 -0.0167 -0.0070  0.0459 -0.0348  0.0302 -0.0131  0.0439
  9 16 -0.0273 -0.0242 -0.0069  0.0465 -0.0281  0.0262  0.0001  0.0432
  9 17 -0.0278 -0.0313 -0.0074  0.0470 -0.0345  0.0223 -0.0025  0.0435
  9 18 -0.0292 -0.0372 -0.0124  0.0471 -0.0459  0.0206 -0.0065  0.0445
  9 19 -0.0288 -0.0420 -0.0173  0.0469 -0.0528  0.0217 -0.0091  0.0461
  9 20 -0.0230 -0.0463 -0.0201  0.0467 -0.0513  0.0245 -0.0136  0.0476
  9 21 -0.0132 -0.0508 -0.0254  0.0464 -0.0501  0.0272 -0.0153  0.0483
  9 22 -0.0046 -0.0559 -0.0318  0.0458 -0.0462  0.0284 -0.0124  0.0479
  9 23  0.0003 -0.0613 -0.0345  0.0450 -0.0428  0.0279 -0.0104  0.0464
  9 24 -0.0001 -0.0660 -0.0327  0.0437 -0.0397  0.0252 -0.0058  0.0438
  9 25 -0.0045 -0.0696 -0.0341  0.0409 -0.0342  0.0201 -0.0027  0.0407
  9 26  0.0082 -0.0728 -0.0390  0.0363 -0.0378  0.0140 -0.0040  0.0379
  9 27  0.0101 -0.0772 -0.0347  0.0315 -0.0331  0.0104  0.0020  0.0360
  9 28  0.0186 -0.0840 -0.0431  0.0292 -0.0378  0.0115  0.0037  0.0341
  9 29  0.0215 -0.0917 -0.0507  0.0296 -0.0378  0.0159  0.0056  0.0302
  9 30  0.0290 -0.0973 -0.0541  0.0297 -0.0362  0.0203  0.0092  0.0229
  9 31  0.0315 -0.0980 -0.0529  0.0262 -0.0334  0.0226  0.0122  0.0133
  9 32  0.0323 -0.0937 -0.0419  0.0185 -0.0295  0.0224  0.0132  0.0034
  9 33  0.0246 -0.0870 -0.0396  0.0092 -0.0250  0.0205  0.0199 -0.0058
  9 34  0.0154 -0.0806 -0.0339  0.0009 -0.0153  0.0175  0.0220 -0.0147
  9 35  0.0138 -0.0768 -0.0424 -0.0056 -0.0084  0.0141  0.0236 -0.0240
  9 36  0.0233 -0.0761 -0.0486 -0.0109 -0.0077  0.0115  0.0271 -0.0337
  9 37  0.0270 -0.0778 -0.0474 -0.0156 -0.0050  0.0102  0.0260 -0.0431
  9 38  0.0282 -0.0793 -0.0434 -0.0199 -0.0064  0.0090  0.0242 -0.0513
  9 39  0.0299 -0.0776 -0.0398 -0.0237 -0.0065  0.0066  0.0233 -0.0572
  9 40  0.0286 -0.0713 -0.0349 -0.0271 -0.0062  0.0027  0.0234 -0.0600
  9 41  0.0273 -0.0622 -0.0324 -0.0296 -0.0048 -0.0020  0.0235 -0.0596
  9 42  0.0261 -0.0537 -0.0300 -0.0307 -0.0052 -0.0071  0.0238 -0.0571
  9 43  0.0256 -0.0473 -0.0280 -0.0307 -0.0043 -0.0120  0.0285 -0.0535
  9 44  0.0222 -0.0421 -0.0269 -0.0298 -0.0026 -0.0162  0.0273 -0.0494
  9 45  0.0179 -0.0364 -0.0259 -0.0287 -0.0011 -0.0186  0.0307 -0.0444
  9 46  0.0151 -0.0303 -0.0250 -0.0276 -0.0022 -0.0188  0.0285 -0.0387
  9 47  0.0123 -0.0247 -0.0233 -0.0264  0.0006 -0.0179  0.0259 -0.0326
  9 48  0.0099 -0.0199 -0.0222 -0.0246  0.0015 -0.0168  0.0207 -0.0264
  9 49  0.0079 -0.0155 -0.0195 -0.0223 -0.0012 -0.0160  0.0176 -0.0205
 10  1 -0.0025 -0.0002  0.0024  0.0097  0.0109  0.0035  0.0068  0.0127
 10  2 -0.0019 -0.0008 -0.0020  0.0123  0.0084  0.0045  0.0049  0.0167
 10  3 -0.0015 -0.0022 -0.0027  0.0127  0.0049  0.0048  0.0031  0.0178
 10  4 -0.0025 -0.0041 -0.0014  0.0124  0.0027  0.0044  0.0029  0.0169
 10  5 -0.0037 -0.0060 -0.0013  0.0138  0.0027  0.0044  0.0016  0.0168
 10  6 -0.0044 -0.0078 -0.0004  0.0179  0.0007  0.0061  0.0001  0.0194
 10  7 -0.0070 -0.0091  0.0008  0.0235 -0.0014  0.0096 -0.0001  0.0243
 10  8 -0.0105 -0.0102  0.0005  0.0293 -0.0046  0.0137 -0.0026  0.0296
 10  9 -0.0137 -0.0116  0.0007  0.0351 -0.0068  0.0166 -0.0051  0.0350
 10 10 -0.0172 -0.0136  0.0012  0.0414 -0.0116  0.0177 -0.0075  0.0405
 10 11 -0.0217 -0.0158  0.0006  0.0478 -0.0173  0.0171 -0.0093  0.0454
 10 12 -0.0284 -0.0179  0.0005  0.0524 -0.0238  0.0159 -0.0091  0.0481
 10 13 -0.0333 -0.0205 -0.0012  0.0536 -0.0293  0.0147 -0.0082  0.0478
 10 14 -0.0296 -0.0242 -0.0058  0.0519 -0.0310  0.0135 -0.0092  0.0455
 10 15 -0.0191 -0.0289 -0.0090  0.0492 -0.0227  0.0114 -0.0048  0.0431
 10 16 -0.0182 -0.0341 -0.0097  0.0469 -0.0207  0.0077 -0.0015  0.0417
 10 17 -0.0121 -0.0390 -0.0208  0.0453 -0.0291  0.0030 -0.0093  0.0414
 10 18 -0.0123 -0.0443 -0.0280  0.0444 -0.0375 -0.0014 -0.0167  0.0425
 10 19 -0.0130 -0.0506 -0.0329  0.0445 -0.0396 -0.0042 -0.0210  0.0453
 10 20 -0.0074 -0.0580 -0.0352  0.0451 -0.0383 -0.0052 -0.0243  0.0492
 10 21  0.0005 -0.0649 -0.0348  0.0449 -0.0342 -0.0044 -0.0236  0.0520
 10 22  0.0085 -0.0691 -0.0355  0.0428 -0.0286 -0.0016 -0.0203  0.0522
 10 23  0.0151 -0.0696 -0.0378  0.0390 -0.0295  0.0022 -0.0212  0.0496
 10 24  0.0136 -0.0669 -0.0320  0.0340 -0.0291  0.0045 -0.0163  0.0460
 10 25 -0.0037 -0.0634 -0.0265  0.0280 -0.0247  0.0032 -0.0025  0.0433
 10 26 -0.0007 -0.0618 -0.0257  0.0212 -0.0206 -0.0003 -0.0022  0.0427
 10 27  0.0068 -0.0634 -0.0281  0.0150 -0.0226 -0.0017 -0.0003  0.0439
 10 28  0.0133 -0.0678 -0.0318  0.0113 -0.0261  0.0019  0.0047  0.0450
 10 29  0.0248 -0.0737 -0.0437  0.0100 -0.0315  0.0091  0.0064  0.0438
 10 30  0.0335 -0.0795 -0.0495  0.0088 -0.0302  0.0161  0.0073  0.0390
 10 31  0.0419 -0.0840 -0.0488  0.0050 -0.0293  0.0207  0.0066  0.0315
 10 32  0.0473 -0.0862 -0.0410 -0.0017 -0.0287  0.0237  0.0089  0.0231
 10 33  0.0450 -0.0861 -0.0327 -0.0098 -0.0285  0.0261  0.0126  0.0149
 10 34  0.0266 -0.0845 -0.0340 -0.0183 -0.0192  0.0280  0.0227  0.0067
 10 35  0.0262 -0.0829 -0.0396 -0.0269 -0.0142  0.0291  0.0316 -0.0020
 10 36  0.0348 -0.0825 -0.0388 -0.0356 -0.0139  0.0297  0.0360 -0.0114
 10 37  0.0393 -0.0828 -0.0336 -0.0437 -0.0130  0.0303  0.0347 -0.0211
 10 38  0.0384 -0.0816 -0.0295 -0.0505 -0.0143  0.0298  0.0335 -0.0304
 10 39  0.0382 -0.0767 -0.0244 -0.0554 -0.0125  0.0270  0.0350 -0.0380
 10 40  0.0371 -0.0683 -0.0215 -0.0584 -0.0116  0.0217  0.0362 -0.0430
 10 41  0.0352 -0.0588 -0.0190 -0.0592 -0.0093  0.0151  0.0376 -0.0455
 10 42  0.0325 -0.0510 -0.0153 -0.0576 -0.0089  0.0085  0.0380 -0.0459
 10 43  0.0303 -0.0453 -0.0132 -0.0542 -0.0097  0.0024  0.0399 -0.0448
 10 44  0.0275 -0.0402 -0.0119 -0.0497 -0.0070 -0.0027  0.0415 -0.0421
 10 45  0.0222 -0.0341 -0.0114 -0.0449 -0.0037 -0.0061  0.0426 -0.0380
 10 46  0.0175 -0.0274 -0.0116 -0.0402 -0.0029 -0.0081  0.0403 -0.0328
 10 47  0.0146 -0.0211 -0.0106 -0.0355 -0.0020 -0.0095  0.0372 -0.0272
 10 48  0.0113 -0.0159 -0.0103 -0.0309 -0.0003 -0.0106  0.0344 -0.0214
 10 49  0.0103 -0.0116 -0.0086 -0.0265  0.0005 -0.0112  0.0291 -0.0156
 11  1 -0.0006 -0.0007  0.0042  0.0084  0.0101  0.0022  0.0080  0.0118
 11  2 -0.0001 -0.0025  0.0025  0.0081  0.0109  0.0021  0.0056  0.0130
 11  3 -0.0014 -0.0044  0.0009  0.0064  0.0069  0.0007  0.0073  0.0118
 11  4 -0.0018 -0.0060 -0.0020  0.0056  0.0031 -0.0010  0.0032  0.0102
 11  5 -0.0018 -0.0078 -0.0038  0.0074  0.0023 -0.0023  0.0013  0.0105
 11  6 -0.0024 -0.0101 -0.0040  0.0115  0.0005 -0.0025  0.0010  0.0132
 11  7 -0.0039 -0.0125 -0.0028  0.0162 -0.0015 -0.0018  0.0014  0.0170
 11  8 -0.0064 -0.0145 -0.0042  0.0205 -0.0030 -0.0005  0.0002  0.0206
 11  9 -0.0083 -0.0166 -0.0060  0.0254 -0.0054  0.0006 -0.0038  0.0247
 11 10 -0.0117 -0.0194 -0.0074  0.0321 -0.0090  0.0006 -0.0065  0.0299
 11 11 -0.0163 -0.0231 -0.0083  0.0397 -0.0138 -0.0008 -0.0071  0.0353
 11 12 -0.0209 -0.0270 -0.0098  0.0455 -0.0179 -0.0027 -0.0078  0.0387
 11 13 -0.0249 -0.0305 -0.0112  0.0477 -0.0237 -0.0042 -0.0065  0.0390
 11 14 -0.0221 -0.0336 -0.0140  0.0467 -0.0221 -0.0048 -0.0082  0.0376
 11 15 -0.0172 -0.0366 -0.0128  0.0444 -0.0149 -0.0057 -0.0039  0.0361
 11 16 -0.0136 -0.0391 -0.0197  0.0416 -0.0191 -0.0088 -0.0078  0.0352
 11 17 -0.0035 -0.0411 -0.0303  0.0385 -0.0224 -0.0146 -0.0179  0.0346
 11 18  0.0017 -0.0438 -0.0369  0.0357 -0.0240 -0.0218 -0.0247  0.0350
 11 19  0.0037 -0.0488 -0.0415  0.0343 -0.0209 -0.0284 -0.0308  0.0379
 11 20  0.0072 -0.0561 -0.0429  0.0342 -0.0201 -0.0329 -0.0333  0.0427
 11 21  0.0126 -0.0631 -0.0387  0.0336 -0.0163 -0.0337 -0.0315  0.0466
 11 22  0.0158 -0.0656 -0.0353  0.0299 -0.0148 -0.0302 -0.0303  0.0462
 11 23  0.0176 -0.0612 -0.0326  0.0229 -0.0147 -0.0234 -0.0275  0.0417
 11 24  0.0123 -0.0516 -0.0216  0.0142 -0.0140 -0.0172 -0.0190  0.0364
 11 25 -0.0047 -0.0419 -0.0203  0.0057 -0.0128 -0.0147  0.0001  0.0344
 11 26 -0.0003 -0.0364 -0.0226 -0.0015 -0.0123 -0.0152 -0.0018  0.0373
 11 27  0.0119 -0.0358 -0.0246 -0.0071 -0.0172 -0.0143 -0.0059  0.0432
 11 28  0.0183 -0.0381 -0.0303 -0.0109 -0.0220 -0.0089 -0.0029  0.0490
 11 29  0.0290 -0.0413 -0.0371 -0.0136 -0.0291 -0.0004 -0.0030  0.0523
 11 30  0.0352 -0.0454 -0.0368 -0.0166 -0.0281  0.0075 -0.0004  0.0526
 11 31  0.0413 -0.0513 -0.0340 -0.0207 -0.0283  0.0133 -0.0027  0.0509
 11 32  0.0447 -0.0584 -0.0278 -0.0260 -0.0286  0.0185 -0.0044  0.0481
 11 33  0.0440 -0.0650 -0.0176 -0.0320 -0.0307  0.0245  0.0014  0.0443
 11 34  0.0320 -0.0695 -0.0257 -0.0390 -0.0266  0.0307  0.0217  0.0389
 11 35  0.0398 -0.0718 -0.0230 -0.0475 -0.0247  0.0355  0.0283  0.0319
 11 36  0.0462 -0.0724 -0.0181 -0.0570 -0.0253  0.0386  0.0337  0.0235
 11 37  0.0468 -0.0712 -0.0128 -0.0659 -0.0247  0.0400  0.0350  0.0139
 11 38  0.0440 -0.0675 -0.0098 -0.0726 -0.0229  0.0392  0.0371  0.0040
 11 39  0.0412 -0.0611 -0.0062 -0.0766 -0.0213  0.0357  0.0401 -0.0049
 11 40  0.0402 -0.0531 -0.0013 -0.0779 -0.0170  0.0298  0.0431 -0.0119
 11 41  0.0367 -0.0458  0.0015 -0.0763 -0.0166  0.0230  0.0450 -0.0165
 11 42  0.0335 -0.0401  0.0047 -0.0722 -0.0166  0.0167  0.0445 -0.0194
 11 43  0.0305 -0.0355  0.0043 -0.0662 -0.0135  0.0112  0.0468 -0.0206
 11 44  0.0281 -0.0308  0.0043 -0.0594 -0.0119  0.0065  0.0467 -0.0201
 11 45  0.0240 -0.0254  0.0039 -0.0527 -0.0089  0.0026  0.0464 -0.0180
 11 46  0.0208 -0.0201  0.0027 -0.0463 -0.0058 -0.0007  0.0445 -0.0152
 11 47  0.0170 -0.0153  0.0023 -0.0400 -0.0054 -0.0038  0.0428 -0.0122
 11 48  0.0130 -0.0112  0.0033 -0.0339 -0.0038 -0.0067  0.0396 -0.0090
 11 49  0.0118 -0.0077  0.0030 -0.0281 -0.0035 -0.0086  0.0337 -0.0055
 12  1 -0.0001 -0.0033  0.0034  0.0074  0.0077 -0.0006  0.0066  0.0100
 12  2  0.0001 -0.0066  0.0023  0.0048  0.0097 -0.0022  0.0061  0.0080
 12  3 -0.0009 -0.0083  0.0025  0.0022  0.0094 -0.0045  0.0091  0.0054
 12  4 -0.0015 -0.0084  0.0002  0.0016  0.0063 -0.0063  0.0061  0.0046
 12  5 -0.0023 -0.0090 -0.0025  0.0037  0.0036 -0.0075  0.0047  0.0066
 12  6 -0.0017 -0.0111 -0.0033  0.0071  0.0024 -0.0085  0.0042  0.0098
 12  7 -0.0026 -0.0140 -0.0043  0.0099  0.0006 -0.0096  0.0030  0.0121
 12  8 -0.0038 -0.0163 -0.0068  0.0114 -0.0006 -0.0106  0.0009  0.0129
 12  9 -0.0047 -0.0182 -0.0092  0.0131 -0.0013 -0.0112 -0.0003  0.0138
 12 10 -0.0071 -0.0209 -0.0133  0.0164 -0.0020 -0.0121 -0.0031  0.0164
 12 11 -0.0084 -0.0249 -0.0166  0.0211 -0.0036 -0.0140 -0.0067  0.0201
 12 12 -0.0108 -0.0293 -0.0188  0.0256 -0.0086 -0.0165 -0.0076  0.0229
 12 13 -0.0140 -0.0330 -0.0199  0.0288 -0.0117 -0.0183 -0.0077  0.0242
 12 14 -0.0140 -0.0357 -0.0201  0.0309 -0.0113 -0.0187 -0.0071  0.0247
 12 15 -0.0152 -0.0375 -0.0181  0.0319 -0.0119 -0.0191 -0.0028  0.0253
 12 16 -0.0122 -0.0380 -0.0208  0.0308 -0.0107 -0.0219 -0.0080  0.0254
 12 17 -0.0058 -0.0369 -0.0245  0.0265 -0.0088 -0.0281 -0.0166  0.0240
 12 18  0.0025 -0.0352 -0.0319  0.0205 -0.0082 -0.0360 -0.0253  0.0227
 12 19  0.0097 -0.0353 -0.0374  0.0159 -0.0021 -0.0431 -0.0329  0.0238
 12 20  0.0142 -0.0388 -0.0372  0.0143  0.0026 -0.0473 -0.0343  0.0279
 12 21  0.0181 -0.0438 -0.0334  0.0141  0.0024 -0.0472 -0.0341  0.0321
 12 22  0.0170 -0.0455 -0.0261  0.0115 -0.0003 -0.0423 -0.0319  0.0326
 12 23  0.0088 -0.0402 -0.0173  0.0049 -0.0052 -0.0343 -0.0241  0.0287
 12 24  0.0045 -0.0289 -0.0099 -0.0041 -0.0066 -0.0267 -0.0144  0.0242
 12 25 -0.0038 -0.0172 -0.0156 -0.0127 -0.0076 -0.0231 -0.0021  0.0236
 12 26  0.0021 -0.0102 -0.0165 -0.0194 -0.0071 -0.0232 -0.0081  0.0287
